HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.experimentName,Input.List,Answer.assess,Answer.freeGenCrit,Answer.freeGenCrit1,Answer.freeGenCrit10,Answer.freeGenCrit11,Answer.freeGenCrit12,Answer.freeGenCrit13,Answer.freeGenCrit14,Answer.freeGenCrit15,Answer.freeGenCrit16,Answer.freeGenCrit17,Answer.freeGenCrit18,Answer.freeGenCrit19,Answer.freeGenCrit2,Answer.freeGenCrit20,Answer.freeGenCrit21,Answer.freeGenCrit22,Answer.freeGenCrit23,Answer.freeGenCrit24,Answer.freeGenCrit25,Answer.freeGenCrit26,Answer.freeGenCrit27,Answer.freeGenCrit28,Answer.freeGenCrit29,Answer.freeGenCrit3,Answer.freeGenCrit30,Answer.freeGenCrit31,Answer.freeGenCrit32,Answer.freeGenCrit33,Answer.freeGenCrit34,Answer.freeGenCrit35,Answer.freeGenCrit36,Answer.freeGenCrit37,Answer.freeGenCrit38,Answer.freeGenCrit39,Answer.freeGenCrit4,Answer.freeGenCrit40,Answer.freeGenCrit5,Answer.freeGenCrit6,Answer.freeGenCrit7,Answer.freeGenCrit8,Answer.freeGenCrit9,Answer.freeWordCheck,Answer.listenerChoice,Answer.listenerSceneConfigs,Answer.listenerTurnOrder,Answer.litChoice1,Answer.litChoice2,Answer.litChoice3,Answer.litChoice4,Answer.litChoice5,Answer.litChoice6,Answer.litChoice7,Answer.litChoice8,Answer.nativeEnglish,Answer.refTypes,Answer.sceneConfigs,Answer.sceneTime,Answer.shapeCheck,Answer.turnOrder,Answer.wrongShape,Approve,Reject
3ZQA3IO31B4JV2MLSQXMC9KHLKA1O3,33YD3YS58SIZ71J94O34UJ34SNQCZQ,Describe an image among several other images (about 10 min),Native English speaker required. You need to allow Javascript to work on the HIT. In this task you will be asked to describe an image among several other images . You may take ONLY 1 HIT for this task.,"image, description, game",$2.00 ,Fri Oct 06 09:42:42 PDT 2017,4,BatchId:2962714;OriginalHitTemplateId:920937340;,3600,3600,Fri Oct 13 09:42:42 PDT 2017,,,337RC3OW06FUYDXFCE6LG0JN62QLVD,46f7kxujtr,Approved,Fri Oct 06 09:43:11 PDT 2017,Fri Oct 06 09:57:14 PDT 2017,Fri Oct 06 10:57:14 PDT 2017,2017-10-06 17:58:13 UTC,,,843,100% (1/1),100% (1/1),100% (1/1),impreciseAdjPracticeListenerFreeProduction,TlessC1,Yes,{},dotted square,triangle,triangle,circle,gentle curve,cube,cylinder,square,triangle,angle,full cylinder,bowl,cube,arrow,line,big square,square,wide oval,oval,big twister,cylinder,thick line,arrow,line,long line,line,big triangle,square,wide rectangle,rectangle,twister,cylinder,arrow,arrow,line,square,square,dotted triangle,line,triangle,sun,,BDAC;ACBD;ACDB;ADCB;ADBC;CDAB;DABC;ACBD,8;4;7;3;2;5;6;1,1,1,1,1,1,1,1,1,yes,1;1;2;2;2;1;1;1;2;1;2;1;1;1;2;2;2;1;1;2;2;1;1;2;1;2;1;2;1;1;1;1;1;1;1;2;2;1;2;1,CDAB;CABD;CBAD;BDAC;DBAC;CADB;CDBA;ADBC;CDAB;ACDB;CBDA;CDBA;ACBD;ACBD;DBAC;BDAC;CDBA;DBCA;ACBD;DCAB;DBAC;BACD;CADB;DBCA;CBDA;ADCB;DBAC;ABDC;DBAC;ABCD;ADBC;CDBA;BCDA;BCDA;ADCB;ADBC;ACDB;BACD;CDBA;ACBD,20516;4845;1928;5168;12105;8944;2414;6089;2695;2616;5202;6983;6135;2424;2320;1824;1912;1375;3065;1990;3240;4016;1448;3393;2960;2111;1687;1928;5864;4105;4272;1895;1914;2734;3280;2119;1639;3343;1520;1608,sun,10;33;14;2;22;13;38;19;28;4;35;7;31;39;11;21;15;40;1;20;3;36;30;25;37;17;26;24;18;23;27;16;5;12;8;9;6;29;32;34,0,,
3ZQA3IO31B4JV2MLSQXMC9KHLKA1O3,33YD3YS58SIZ71J94O34UJ34SNQCZQ,Describe an image among several other images (about 10 min),Native English speaker required. You need to allow Javascript to work on the HIT. In this task you will be asked to describe an image among several other images . You may take ONLY 1 HIT for this task.,"image, description, game",$2.00 ,Fri Oct 06 09:42:42 PDT 2017,4,BatchId:2962714;OriginalHitTemplateId:920937340;,3600,3600,Fri Oct 13 09:42:42 PDT 2017,,,3B3WTRP3DCFQ0KY4Z7JK9MVH9AG92W,k3btsw99p8,Approved,Fri Oct 06 09:43:11 PDT 2017,Fri Oct 06 10:09:51 PDT 2017,Fri Oct 06 11:09:51 PDT 2017,2017-10-06 18:10:13 UTC,,,1600,100% (1/1),100% (1/1),100% (1/1),impreciseAdjPracticeListenerFreeProduction,TlessC1,Yes,{},circle,square,circle with 1 dot,square,arrow pointing right,cube,cylinder,square,near complete circle,arrow pointing right,full cylinder,partial triangle,square,big line w/ no arrow,line no arrow,big square,zquare,big oval,rectangle,cylinder,cylinder,arrow pointing right,bent line with no arrow,line with no arrow,bigger line no arrow,arrow pointing right,big triangle,square,big oval,rectangle,spiral,cylinder,first horizontal line,bent line with no arrow,line with no arrow,circle with dots,triangle,six dotted square,bent line with no arrow,triangle,sun,,DCBA;CDAB;DBCA;ABDC;BDAC;BCAD;BACD;CABD,6;5;4;2;7;8;1;3,1,1,1,1,1,1,1,1,yes,2;2;1;1;1;2;2;1;2;2;1;2;2;1;2;2;1;2;1;2;1;1;1;2;1;1;2;2;2;1;1;2;1;1;2;2;2;1;1;1,ACDB;DCAB;BCAD;DCAB;DABC;ABDC;ADCB;BCAD;BCAD;DACB;CDAB;BCDA;ADCB;BACD;CBAD;DBAC;CDBA;DABC;CADB;ADBC;CADB;CBAD;ADCB;BCAD;BACD;BCDA;BADC;ABCD;DCAB;DBAC;DBAC;BDCA;BCDA;ABDC;BCAD;BDAC;ABCD;DACB;DBCA;DBAC,14313;18193;38362;11237;2344;5150;4391;8063;3265;4231;4529;7201;3015;4696;5583;5216;23498;2879;2647;3047;3497;2136;3899;3924;3353;2064;2063;24784;5216;4498;3026;2142;2663;3553;3246;2192;3496;4856;2211;7505,sun,39;14;8;11;34;28;25;2;35;17;7;29;32;23;40;30;4;9;15;1;36;38;33;13;18;6;27;24;3;31;37;12;26;19;5;20;22;21;16;10,0,,
3ZQA3IO31B4JV2MLSQXMC9KHLKA1O3,33YD3YS58SIZ71J94O34UJ34SNQCZQ,Describe an image among several other images (about 10 min),Native English speaker required. You need to allow Javascript to work on the HIT. In this task you will be asked to describe an image among several other images . You may take ONLY 1 HIT for this task.,"image, description, game",$2.00 ,Fri Oct 06 09:42:42 PDT 2017,4,BatchId:2962714;OriginalHitTemplateId:920937340;,3600,3600,Fri Oct 13 09:42:42 PDT 2017,,,3ND9UOO81LF7D2XK2OBH2221DBSLWN,js7qgaptak,Approved,Fri Oct 06 09:58:30 PDT 2017,Fri Oct 06 10:26:00 PDT 2017,Fri Oct 06 11:26:00 PDT 2017,2017-10-06 18:26:13 UTC,,,1650,100% (5/5),100% (1/1),100% (1/1),impreciseAdjPracticeListenerFreeProduction,TlessC1,Yes,{},square with dots,triangle,circle with one dot,square,slightly curved line,cube,mostly empty cube,square,mostly complete circle,arrow,cube,half circle,cylinder,arrow,line,big square,triangle,fatter oval,rectangle,bigger cyclone,part of a cylinder,arrow,bent arrow,line,longer line,line,larger triangle,triangle,fatter rectangle,rectangle,larger cylinder,part of cylinder,arrow,curved line,arrow,square,triangle,square,curved arrow,square with dots,sun,,DABC;CDAB;BCAD;BCAD;BDCA;CADB;ABCD;BADC,4;1;3;2;8;6;5;7,1,1,1,1,1,1,1,1,yes,1;1;2;1;2;2;2;2;1;1;1;2;1;1;1;2;1;2;2;1;2;1;1;1;1;1;1;2;2;1;1;1;1;2;1;2;1;1;2;2,BDAC;BDAC;CBDA;CDBA;BDAC;CADB;BACD;ABDC;DCBA;DCBA;BDCA;BADC;CBDA;BDAC;DBAC;CBDA;DABC;BCDA;DBAC;CADB;ADBC;BADC;CABD;DBAC;DCAB;BADC;DABC;DCAB;BDAC;CADB;CDAB;CABD;CABD;DCAB;CBDA;CBDA;DCBA;BDCA;DABC;BACD,8821;6794;6035;4030;11010;3466;5497;5772;3567;3107;3302;2882;4692;3985;5113;4756;5747;3129;3649;3896;3310;4864;93259;6115;3544;5833;2890;2920;5193;3959;3006;5652;2984;4139;6051;2911;5144;4201;4012;4475,sun,16;17;31;34;15;6;26;29;40;10;36;18;9;2;37;33;28;30;21;23;24;19;22;1;20;13;14;39;11;7;12;25;5;38;35;32;4;27;3;8,0,,
3ZQA3IO31B4JV2MLSQXMC9KHLKA1O3,33YD3YS58SIZ71J94O34UJ34SNQCZQ,Describe an image among several other images (about 10 min),Native English speaker required. You need to allow Javascript to work on the HIT. In this task you will be asked to describe an image among several other images . You may take ONLY 1 HIT for this task.,"image, description, game",$2.00 ,Fri Oct 06 09:42:42 PDT 2017,4,BatchId:2962714;OriginalHitTemplateId:920937340;,3600,3600,Fri Oct 13 09:42:42 PDT 2017,,,3TVRFO09GLSM222ACT734LG8MDYLXG,07arv648s8,Approved,Fri Oct 06 10:46:45 PDT 2017,Fri Oct 06 11:33:08 PDT 2017,Fri Oct 06 12:33:08 PDT 2017,2017-10-06 19:33:16 UTC,,,2783,100% (5/5),100% (1/1),100% (1/1),impreciseAdjPracticeListenerFreeProduction,TlessC1,No,{},square,square,triangle,circle,circle,cube,cube,triangle,triangle,oval,cube,cloud,line,sun,star,triangle,triangle,square,star,oval,sun,sun,line,star,cloud,cube,square,truiangle,oval,sun,line,star,star,star,circle,triangle,star,triangle,triangle,triangle,sun,,BCAD;DBAC;DABC;CBDA;CBDA;CDBA;CABD;CABD,7;4;1;2;3;6;8;5,1,1,1,1,1,1,1,1,yes,2;1;2;2;1;2;2;2;1;1;2;2;1;2;1;1;2;1;1;1;1;2;2;1;2;2;1;2;1;2;2;1;2;2;2;1;1;1;1;1,BCAD;CBAD;CADB;DACB;ABDC;CBDA;ABDC;DABC;BDCA;ABDC;BDCA;ABCD;BADC;DABC;ACBD;ABCD;BACD;ACBD;ACDB;BADC;BDAC;ACBD;ABDC;DBCA;BDCA;CABD;BDCA;ADBC;DBAC;CABD;CBDA;ACDB;ACDB;CBDA;ABCD;BCAD;BADC;DCBA;ADBC;ABDC,13128;5551;31480;9352;9562;9667;6031;13881;23511;39143;8203;5132;7929;18684;4623;5561;8207;17888;4259;14140;9095;7504;4751;9575;4702;8041;6160;3265;16372;6475;4135;8329;5975;20592;5959;4544;4823;4888;4760;5479,sun,25;30;19;1;34;13;10;35;11;8;16;26;21;3;20;7;17;27;39;36;32;15;38;12;28;18;23;4;2;33;29;5;14;6;9;22;31;37;40;24,0,,
3GS542CVJV0FCXJYROGGI92921T95F,33YD3YS58SIZ71J94O34UJ34SNQCZQ,Describe an image among several other images (about 10 min),Native English speaker required. You need to allow Javascript to work on the HIT. In this task you will be asked to describe an image among several other images . You may take ONLY 1 HIT for this task.,"image, description, game",$2.00 ,Fri Oct 06 09:42:43 PDT 2017,4,BatchId:2962714;OriginalHitTemplateId:920937340;,3600,3600,Fri Oct 13 09:42:43 PDT 2017,,,30BXRYBRP5A5R6EUB3WJAA9UWVPHWK,44s79gig2j,Approved,Fri Oct 06 10:26:52 PDT 2017,Fri Oct 06 10:39:31 PDT 2017,Fri Oct 06 11:39:31 PDT 2017,2017-10-06 18:40:13 UTC,,,759,100% (1/1),100% (1/1),100% (1/1),impreciseAdjPracticeListenerFreeProduction,TlessC1,Yes,{},square circles,triangle,triangle,square,straighter line,3d box,emptiest cube,square,triangle,2 lines,fuller cylinder,half circle,3d box,arrow,arrow,triangle,triangle,rectangle,oval,taller toranado,cheese,arrow,2 lines NO arrow,line no arrow,longer line w/o arrow,arrow,bigger triangle,square,oval,oval,tallest cylinder,swirl,thicker line,arrow,line no arrow,circle dots,triangle,triangle circles,line no arrow,square dots,sun,,BDCA;BACD;ADCB;CBAD;BACD;CADB;DCBA;BCAD,4;7;8;6;1;2;3;5,1,1,1,1,1,1,1,1,yes,1;1;1;2;1;2;1;1;1;1;2;2;1;1;1;2;2;1;1;2;2;2;2;1;2;2;1;2;2;1;1;2;1;1;2;1;1;2;1;1,CABD;DCBA;DACB;BACD;DBAC;BDAC;ADCB;ADCB;CBAD;ABCD;DCBA;DABC;ADCB;CBAD;CABD;ACDB;BCAD;ADCB;DCBA;BCDA;CABD;BADC;ABCD;BACD;DBAC;CBAD;BDCA;DCAB;ACDB;CABD;DCBA;DABC;BCDA;DABC;BDCA;DCBA;BCDA;ADBC;BDAC;ACBD,28021;8295;12768;19146;6804;8379;9663;8208;5198;7418;7656;11310;7058;12093;14230;5124;5208;6048;5628;14762;5079;5705;5624;6786;8877;9903;9044;10846;4312;19007;6384;11247;8144;4937;4271;5293;8673;4217;13239;4959,sun,11;28;23;9;5;33;39;19;34;4;20;13;14;27;3;12;35;16;24;7;21;29;18;38;1;40;37;10;32;15;25;2;8;26;36;17;30;22;31;6,0,,
3GS542CVJV0FCXJYROGGI92921T95F,33YD3YS58SIZ71J94O34UJ34SNQCZQ,Describe an image among several other images (about 10 min),Native English speaker required. You need to allow Javascript to work on the HIT. In this task you will be asked to describe an image among several other images . You may take ONLY 1 HIT for this task.,"image, description, game",$2.00 ,Fri Oct 06 09:42:43 PDT 2017,4,BatchId:2962714;OriginalHitTemplateId:920937340;,3600,3600,Fri Oct 13 09:42:43 PDT 2017,,,320DUZ38G8Z5LQJKKYVM0K3LFYXGJH,1zfh15ephg,Approved,Fri Oct 06 09:43:11 PDT 2017,Fri Oct 06 10:14:16 PDT 2017,Fri Oct 06 11:14:16 PDT 2017,2017-10-06 18:15:13 UTC,,,1865,100% (3/3),100% (1/1),100% (1/1),impreciseAdjPracticeListenerFreeProduction,TlessC1,Yes,{},dotted square,striped triangle,triangle,square,line,cylinder,cylinder,square,triangle,line,full cylinder,circle,cyliner,line long,arrow,triangle,square,square,oval,cylinder,swirly,arrow,chair,line,long line,line,large triangle,triangle,fat rectangle,oval,cylinder,swirly,thick line,curve,arrow,square,triangle,dotted triangle,arrow,dotted square,sun,,ABCD;ABDC;CDBA;DBCA;DABC;ACBD;BADC;BDAC,1;4;5;8;6;3;2;7,1,1,1,1,1,1,1,1,yes,1;1;1;1;2;2;1;2;1;1;2;2;1;2;2;2;2;1;1;1;1;2;2;2;2;2;2;1;2;1;1;1;1;2;1;1;1;2;1;2,BDAC;BDAC;ABCD;DCBA;ADBC;BACD;DBAC;DBAC;ACDB;ACBD;BACD;ADBC;CDBA;DBCA;DCAB;BCAD;CABD;ABCD;ABCD;BCAD;BCAD;BDAC;CBDA;CBAD;DACB;ADCB;CDAB;CDAB;DACB;DCBA;CDAB;DACB;DCBA;ABDC;CDBA;BCDA;BDCA;BADC;BCAD;ACBD,27712;10682;4651;7248;3828;3893;7048;6260;5966;7560;181459;12589;7978;4906;3674;2483;2669;3682;2631;3551;3981;2484;2875;5837;3091;3491;2467;5357;5687;3121;2679;3051;2688;8830;3503;3168;4283;6158;3373;2303,sun,7;10;40;1;30;29;38;39;31;34;5;13;3;20;8;12;24;9;22;14;23;16;6;37;18;25;26;33;32;11;27;2;17;21;28;4;19;35;15;36,0,,
3GS542CVJV0FCXJYROGGI92921T95F,33YD3YS58SIZ71J94O34UJ34SNQCZQ,Describe an image among several other images (about 10 min),Native English speaker required. You need to allow Javascript to work on the HIT. In this task you will be asked to describe an image among several other images . You may take ONLY 1 HIT for this task.,"image, description, game",$2.00 ,Fri Oct 06 09:42:43 PDT 2017,4,BatchId:2962714;OriginalHitTemplateId:920937340;,3600,3600,Fri Oct 13 09:42:43 PDT 2017,,,3AAJC4I4FH55C7EPAQJBLRJRQPZZJZ,7m2t6oo0lp,Approved,Fri Oct 06 10:39:51 PDT 2017,Fri Oct 06 11:35:01 PDT 2017,Fri Oct 06 12:35:01 PDT 2017,2017-10-06 19:35:15 UTC,,,3310,100% (1/1),100% (1/1),100% (1/1),impreciseAdjPracticeListenerFreeProduction,TlessC1,Yes,{},circle,square,circle with one dot,square,less curved line with no arrow,cube,least full cube,square,triangle,bent line,cube,horseshow shaped line,cube,line with arrow,line with no arrow,larger square,square,rectangle,oval shape,cylinder,coin shape,thicker line with no arrow,bent line with no arrow,line with arrow,longer line with no arrow,line with no arrow,square,square,wider rectangle,oval shape,spiral ribbon,cylinder,line with arrow,curved line with no pointer,line with arrow,circle with dots,triangle,square,curved line with no arrow,triangle,sun,,ADBC;DCAB;ADCB;ADBC;CDBA;ADBC;BACD;BCAD,5;1;4;7;6;3;2;8,1,1,1,1,1,1,1,1,yes,2;1;1;1;1;2;2;1;2;2;1;2;1;1;1;2;2;1;2;2;2;1;1;2;2;2;2;2;1;2;1;1;2;1;1;1;2;1;2;2,BCDA;DCBA;CDAB;ACBD;ACDB;ACBD;ABDC;CDAB;BACD;CABD;ADCB;ABDC;ADBC;BCAD;ADBC;BADC;ABCD;BDCA;CBDA;BCAD;CDAB;BCAD;ABCD;BCAD;ADBC;BDCA;DACB;DCAB;DCAB;BDAC;ABCD;DCAB;ADCB;DCAB;DCBA;CDBA;ADBC;ABDC;CBDA;DABC,35396;15584;23222;5032;12328;11048;6083;57910;11599;16429;5347;5359;6688;5592;20151;72471;14602;7022;7330;19120;10830;9528;8087;7984;32489;4991;4942;6041;6528;11944;6007;7600;17175;14103;5640;5834;5663;6991;7609;13305,sun,39;10;4;14;22;8;20;15;32;28;19;34;40;24;2;26;37;30;7;35;31;3;36;9;13;33;6;25;18;11;27;21;5;29;1;12;16;17;23;38,0,,
