HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.experimentName,Input.List,Answer.age,Answer.assess,Answer.comments,Answer.education,Answer.enjoyment,Answer.fairprice,Answer.freeGenCrit,Answer.freeGenCrit1,Answer.freeGenCrit10,Answer.freeGenCrit11,Answer.freeGenCrit12,Answer.freeGenCrit13,Answer.freeGenCrit14,Answer.freeGenCrit15,Answer.freeGenCrit16,Answer.freeGenCrit17,Answer.freeGenCrit18,Answer.freeGenCrit19,Answer.freeGenCrit2,Answer.freeGenCrit20,Answer.freeGenCrit21,Answer.freeGenCrit22,Answer.freeGenCrit23,Answer.freeGenCrit24,Answer.freeGenCrit25,Answer.freeGenCrit26,Answer.freeGenCrit27,Answer.freeGenCrit28,Answer.freeGenCrit29,Answer.freeGenCrit3,Answer.freeGenCrit30,Answer.freeGenCrit31,Answer.freeGenCrit32,Answer.freeGenCrit33,Answer.freeGenCrit34,Answer.freeGenCrit35,Answer.freeGenCrit36,Answer.freeGenCrit37,Answer.freeGenCrit38,Answer.freeGenCrit39,Answer.freeGenCrit4,Answer.freeGenCrit40,Answer.freeGenCrit5,Answer.freeGenCrit6,Answer.freeGenCrit7,Answer.freeGenCrit8,Answer.freeGenCrit9,Answer.freeWordCheck,Answer.gender,Answer.listenerChoice,Answer.listenerSceneConfigs,Answer.listenerTurnOrder,Answer.litChoice1,Answer.litChoice2,Answer.litChoice3,Answer.litChoice4,Answer.litChoice5,Answer.litChoice6,Answer.litChoice7,Answer.litChoice8,Answer.nativeEnglish,Answer.othernativelanguage,Answer.problems,Answer.refTypes,Answer.sceneConfigs,Answer.sceneTime,Answer.shapeCheck,Answer.turnOrder,Answer.wrongShape,Approve,Reject
3S8APUMBJXWQ2NRKVK7LVROCFFFFBN,33YD3YS58SIZ71J94O34UJ34SNQCZQ,Describe an image among several other images (about 10 min),Native English speaker required. You need to allow Javascript to work on the HIT. In this task you will be asked to describe an image among several other images . You may take ONLY 1 HIT for this task.,"image, description, game",$2.00 ,Fri Oct 20 11:43:33 PDT 2017,4,BatchId:2978795;OriginalHitTemplateId:920937340;,3600,3600,Fri Oct 27 11:43:33 PDT 2017,,,30H4UDGLT3V1ZBI4QEY1AL9UM21PMO,kifybolko9,Approved,Fri Oct 20 11:44:04 PDT 2017,Fri Oct 20 12:12:01 PDT 2017,Fri Oct 20 13:12:01 PDT 2017,2017-10-20 20:12:57 UTC,,,1677,100% (1/1),100% (1/1),100% (1/1),impreciseAdjPracticeListenerFreeProduction,TlessC1,45,Yes,It went smooth,3,0,Yes,{},dotted square,square,triangle,circle,arrow,cylinder,cylinder,square,circle,arow,sqaure,arc,cylinder,longer line,line,sqaure,triangle,thicker oval,line,cylinder,swirl,thinker line,arrow,line,arrow,arrow,big triangle,triangle,oval,line,swirl,cylinder,arrow,arc,arrow,dotted circle,triangle,dotted triangle,arrow,triangle,sun,Male,,BCDA;BDAC;ADCB;CABD;CBAD;CBDA;DCAB;CABD,5;1;6;3;4;7;2;8,1,1,1,1,1,1,1,1,yes,{},No,1;1;2;1;1;2;1;2;2;2;2;1;2;2;2;2;1;2;2;1;1;1;1;1;1;1;2;1;1;1;2;2;1;2;2;2;2;1;2;2,ACDB;ACBD;ADBC;DABC;CDAB;DCAB;CABD;DCBA;DCBA;DACB;CABD;ABDC;ADCB;BDAC;BCDA;CDAB;DACB;ABCD;CBDA;DBCA;CBAD;ACDB;ABDC;ACBD;BDCA;ADBC;DCBA;DBAC;BACD;DCAB;DCBA;BDAC;CBAD;ADBC;DBCA;DABC;ABCD;ACBD;CDAB;CDAB,12271;16810;4487;2745;3998;3425;4512;2399;8903;2448;4416;4616;3409;4006;4049;4249;2919;3336;4280;10009;2367;6152;3176;2480;3864;3423;3826;4328;2655;2199;3041;2655;3665;3360;4103;2183;2921;2751;5304;2584,sun,16;7;32;12;2;30;33;22;1;31;29;20;27;24;21;38;39;15;3;25;11;36;6;18;37;14;13;35;10;40;8;34;19;9;5;26;4;23;17;28,0,,
3S8APUMBJXWQ2NRKVK7LVROCFFFFBN,33YD3YS58SIZ71J94O34UJ34SNQCZQ,Describe an image among several other images (about 10 min),Native English speaker required. You need to allow Javascript to work on the HIT. In this task you will be asked to describe an image among several other images . You may take ONLY 1 HIT for this task.,"image, description, game",$2.00 ,Fri Oct 20 11:43:33 PDT 2017,4,BatchId:2978795;OriginalHitTemplateId:920937340;,3600,3600,Fri Oct 27 11:43:33 PDT 2017,,,32N49TQG3HVD2U6BFNHV7M3CE9DVAV,36u1cp1i1b,Approved,Fri Oct 20 11:44:15 PDT 2017,Fri Oct 20 11:50:17 PDT 2017,Fri Oct 20 12:50:17 PDT 2017,2017-10-20 19:50:57 UTC,,,362,100% (3/3),100% (1/1),100% (1/1),impreciseAdjPracticeListenerFreeProduction,TlessC1,27,No,{},3,1,2,{},square with bumps,square,triangle,square,straighter arch,cylinder,cylinder,triangle,more complete circle,bent line,fuller cylinder,partial triangle,cube,longer line,arrow,larger square,triangle,rectangle,oval,cylinder,ribbon,arrow,arrow,line,arrow,line,square,square,wider rectangle,oval,taller cylinder,ribbon,thicker line,arrow,line,square,square,square,arch,triangle,sun,Female,,ACBD;ACBD;BDCA;ABCD;ADCB;BCAD;CABD;BADC,6;5;3;7;1;8;4;2,1,1,1,1,1,1,1,1,yes,{},{},1;2;2;2;2;1;2;1;2;2;2;2;1;2;2;1;1;1;1;2;1;2;1;1;2;2;2;1;2;1;2;1;2;1;1;1;1;2;1;1,DCAB;BADC;BACD;ADBC;ACDB;DBCA;CADB;ACBD;CDAB;ADCB;ADCB;DACB;ACBD;BADC;DBCA;BADC;BCDA;ACBD;DBAC;CDAB;CBAD;ABCD;ACBD;CBAD;CBDA;DABC;ABCD;ACBD;DBAC;ABCD;ADCB;DABC;CDAB;CADB;DABC;CADB;ADCB;BADC;DCBA;ABCD,8537;4407;3970;5076;6012;3706;5378;4823;3456;3605;6299;4307;9499;3267;15412;5181;4426;8079;3424;5670;11465;3804;3648;5026;3341;3065;3180;6099;11455;3661;3663;3800;3696;3796;9588;3916;3408;9418;3321;3293,sun,40;8;4;20;31;6;19;21;10;30;28;14;13;34;36;24;12;18;7;2;23;38;11;39;27;22;16;37;17;32;15;9;3;5;1;25;26;35;33;29,0,,
3S8APUMBJXWQ2NRKVK7LVROCFFFFBN,33YD3YS58SIZ71J94O34UJ34SNQCZQ,Describe an image among several other images (about 10 min),Native English speaker required. You need to allow Javascript to work on the HIT. In this task you will be asked to describe an image among several other images . You may take ONLY 1 HIT for this task.,"image, description, game",$2.00 ,Fri Oct 20 11:43:33 PDT 2017,4,BatchId:2978795;OriginalHitTemplateId:920937340;,3600,3600,Fri Oct 27 11:43:33 PDT 2017,,,3X3OR7WPZ0DWN1124LVBOMZFXNCL8Z,ffmj5vtsvh,Approved,Fri Oct 20 11:49:56 PDT 2017,Fri Oct 20 12:00:43 PDT 2017,Fri Oct 20 13:00:43 PDT 2017,2017-10-20 20:00:57 UTC,,,647,100% (1/1),100% (1/1),100% (1/1),impreciseAdjPracticeListenerFreeProduction,TlessC1,41,Yes,Thanks!,3,1,2 is fine,{},square,square,circle with one dot in middle,circle,arrow,cube,cube with less water,square,circle that almost touches,bent line,cylinder that is almost full,u,cube,arrow,arrow,larger square,square,rectangle,rectangle,cylinder,spiral,thicker simple line,bent line with no arrow,line,longer plain line,line,square,square,thicker rectanlge,standing rectangle,cilinder,cilinder,thicker line,bent line,arrow,square,traingle,square,bent arrow,dotted square,sun,Female,,CBDA;BACD;ADCB;DACB;BDAC;DCBA;DACB;DACB,5;1;7;4;3;6;8;2,1,21,1,21,1,1,1,1,no,Spanish,It seemed like on the practice trials the chosen image was not clicking. It happened a couple times that I was following instructions but I got the prompt that I was wrong.,1;1;1;1;2;2;2;2;1;2;1;1;2;1;1;2;1;1;1;2;2;2;1;2;2;1;2;1;1;1;1;1;2;1;1;2;1;1;1;2,ACBD;BDAC;CBAD;CBAD;DACB;BDCA;ACDB;ADCB;CBDA;CBDA;ABCD;CDAB;BDCA;CBDA;ACDB;ABDC;BDCA;BCDA;DBCA;CABD;ADCB;BACD;BDAC;BDAC;DACB;ADCB;BCDA;CDAB;ACBD;BCDA;BADC;BCDA;ACBD;BADC;CBDA;BACD;DCAB;BCDA;ADBC;ACBD,51892;24613;8122;4399;7513;8558;6779;5598;7144;11058;8072;20788;8371;12714;17669;18380;2923;3559;6395;3736;4895;7013;5713;5496;3944;3210;4290;19090;6081;3552;5056;10387;3739;2911;2506;11890;7527;14490;11496;4968,sun,9;26;10;13;18;23;32;38;39;4;35;15;7;29;40;17;30;12;28;2;20;5;16;25;14;21;6;19;37;33;34;31;1;24;22;11;27;3;36;8,0,,
3S8APUMBJXWQ2NRKVK7LVROCFFFFBN,33YD3YS58SIZ71J94O34UJ34SNQCZQ,Describe an image among several other images (about 10 min),Native English speaker required. You need to allow Javascript to work on the HIT. In this task you will be asked to describe an image among several other images . You may take ONLY 1 HIT for this task.,"image, description, game",$2.00 ,Fri Oct 20 11:43:33 PDT 2017,4,BatchId:2978795;OriginalHitTemplateId:920937340;,3600,3600,Fri Oct 27 11:43:33 PDT 2017,,,3XIQGXAUMDLNNHD88Z6TLGY7TCG7XK,shbfc9a8jp,Approved,Fri Oct 20 11:44:58 PDT 2017,Fri Oct 20 12:21:24 PDT 2017,Fri Oct 20 13:21:24 PDT 2017,2017-10-20 20:21:57 UTC,,,2186,100% (2/2),100% (2/2),100% (1/1),impreciseAdjPracticeListenerFreeProduction,TlessC1,34,No,{},3,1,$2.00 ,{},lego square,square,triangle,broken circle,arrow,cylinder,cylinder,triangle,circle missing smallest piece,arrow,cube,half a triangle,cube,longer plain line,arrow,triangle,triangle,full rectangle,rectangle,cylinder,cylinder,arrow,bent arrow,arrow,arrow,plain line,bigger triangle,square,oval,oval,tornado,cylinder,thicker plain line,curved plain line,arrow,dotted circle,square,lego triangle,curved arrow,triangle,sun,Male,,CBAD;BCDA;BCDA;CDAB;ADBC;DBCA;BCAD;ADCB,3;1;8;5;6;7;4;2,1,1,1,1,1,1,1,1,yes,{},{},1;2;2;1;1;1;1;2;2;2;2;1;2;2;2;1;1;2;2;2;1;2;2;1;2;1;2;2;2;2;2;1;1;1;2;1;2;1;1;2,BCAD;CDBA;CBDA;ADCB;ABCD;ABDC;DBCA;DACB;CADB;CBAD;DCAB;CBDA;DABC;DBCA;BADC;BADC;ACBD;ACDB;ADCB;ABCD;CDAB;CABD;ABCD;ADCB;CBAD;ACBD;ABDC;ABDC;BDCA;DABC;CDBA;BDAC;DBCA;ABDC;DACB;BCAD;BDAC;DCAB;CABD;CDAB,15443;3889;3087;2377;17145;2612;6671;12942;10661;6964;3829;3320;4509;3370;2593;4849;2149;2967;4990;6707;2359;1886;5874;2772;4221;3023;5165;4963;9259;2526;3043;2434;6813;2180;1519;10694;2739;3397;2509;1807,sun,8;23;24;35;27;34;32;5;39;7;1;20;14;22;38;33;36;16;12;40;30;29;2;11;9;37;3;21;25;19;10;15;4;13;18;17;28;26;6;31,0,,
33TGB4G0LPU7YVCMV04S1SU5PRBXTM,33YD3YS58SIZ71J94O34UJ34SNQCZQ,Describe an image among several other images (about 10 min),Native English speaker required. You need to allow Javascript to work on the HIT. In this task you will be asked to describe an image among several other images . You may take ONLY 1 HIT for this task.,"image, description, game",$2.00 ,Fri Oct 20 11:43:33 PDT 2017,4,BatchId:2978795;OriginalHitTemplateId:920937340;,3600,3600,Fri Oct 27 11:43:33 PDT 2017,,,31T4R4OBOTTZKJ2DH3A673DXSUSC7N,sg61npdikd,Approved,Fri Oct 20 11:43:43 PDT 2017,Fri Oct 20 11:49:20 PDT 2017,Fri Oct 20 12:49:20 PDT 2017,2017-10-20 19:49:57 UTC,,,337,100% (2/2),100% (2/2),100% (1/1),impreciseAdjPracticeListenerFreeProduction,TlessC1,24,Yes,{},2,1,could be 3 bucks,{},circle dots,triangle,triangle,square,almost 180,cylinder,cube a little water,square,almost circle,angular line,cube,angular,cube,line,arrow,square big,square,fat eclipse,eclipse,cylinder,cylinder,arrow,angular arrow,line,long line,arrow,square,square,eclipse,eclipse,cylinder tall,cylinder,arrow,curve,arrow,nasty square dots,triangle,triangle dots,curve,triangle,spiky,Male,,CBDA;BADC;BDAC;CDBA;ABCD;DBAC;CBDA;CADB,5;6;1;4;2;3;7;8,1,1,1,1,1,1,1,1,yes,{},no,2;2;2;1;2;2;1;1;2;1;2;2;1;2;1;2;1;1;2;2;1;2;1;2;1;2;2;2;2;1;1;2;2;1;2;1;1;1;2;2,CBAD;ADBC;CDBA;ABDC;CDBA;DBCA;ABCD;DCAB;ABCD;CABD;DBAC;BADC;DBAC;BACD;ACBD;DBAC;BADC;CDBA;ADCB;CABD;ABDC;CBAD;ADBC;ACDB;ADBC;BCDA;BCAD;CBAD;BACD;BACD;DABC;BDCA;BACD;ADBC;DABC;BDCA;CBAD;CABD;DBCA;CADB,29472;5135;9610;6040;4516;4071;3049;5701;3808;4704;4706;5386;4983;4375;4778;4572;3177;3149;3607;5909;4022;3278;14984;7736;3170;6749;6116;10110;3776;8580;9095;4461;4577;4206;6166;5511;10279;8354;3516;3805,sun,31;32;1;24;39;19;29;36;35;23;14;6;12;27;4;38;33;40;22;2;20;26;15;7;21;28;37;18;30;25;13;34;11;8;17;3;5;10;9;16,0,,
33TGB4G0LPU7YVCMV04S1SU5PRBXTM,33YD3YS58SIZ71J94O34UJ34SNQCZQ,Describe an image among several other images (about 10 min),Native English speaker required. You need to allow Javascript to work on the HIT. In this task you will be asked to describe an image among several other images . You may take ONLY 1 HIT for this task.,"image, description, game",$2.00 ,Fri Oct 20 11:43:33 PDT 2017,4,BatchId:2978795;OriginalHitTemplateId:920937340;,3600,3600,Fri Oct 27 11:43:33 PDT 2017,,,323Q6SJS8JT3GKSZLEMJ6MNU3AGFH3,kw2plm2w3t,Approved,Fri Oct 20 11:46:24 PDT 2017,Fri Oct 20 12:23:16 PDT 2017,Fri Oct 20 13:23:16 PDT 2017,2017-10-20 20:23:57 UTC,,,2212,100% (1/1),100% (1/1),100% (1/1),impreciseAdjPracticeListenerFreeProduction,TlessC1,39,Yes,Enjoyed!,1,1,2,{},square with dots,square,circle with 1 dot,circle,flattest line,cylinder,cube with least,square,triangle,line with arrow,full cyclinder,semi circle,cube,long line,line,big square,square,square,cheese,spiral,coin,arrow,angled arrow,line,arrow,arrow,rectangle,square,oval,rectangle,spiral,3d sphere,thick line,line with arrow,line,square,triangle,square,curve with no arrow,triangle,sun,Male,,DCAB;CDAB;DBAC;CDAB;ABDC;ADCB;BDCA;BDAC,1;6;3;4;5;7;2;8,1,1,1,1,1,1,1,1,yes,english,no,1;1;2;2;2;2;2;1;2;2;1;1;1;2;1;2;2;2;1;2;1;1;1;2;2;2;1;2;2;1;2;2;2;1;2;2;2;1;1;1,DABC;ACDB;CDBA;CBDA;BDAC;BACD;CABD;DACB;ABDC;DCBA;CDBA;DBCA;ABCD;CDAB;DCBA;ACDB;DABC;CBDA;CDAB;ACDB;DACB;DABC;DABC;CBAD;BCDA;CBDA;ABCD;BACD;CBAD;CDBA;CADB;BCAD;CDBA;ACDB;BCAD;DABC;CBAD;ABDC;DABC;CADB,14677;37516;44560;10144;6862;6267;6863;15075;6009;6614;8877;5186;4220;5270;3843;4041;14699;7557;8948;10672;65142;23206;5162;8998;12985;4709;8694;5388;10111;5140;6988;8447;15832;9874;13522;4585;59224;16252;6507;9298,sun,28;26;34;37;30;35;36;2;33;17;20;25;27;16;24;10;38;21;19;3;9;7;12;23;4;22;18;14;32;31;29;39;13;8;15;40;1;11;6;5,0,,
33TGB4G0LPU7YVCMV04S1SU5PRBXTM,33YD3YS58SIZ71J94O34UJ34SNQCZQ,Describe an image among several other images (about 10 min),Native English speaker required. You need to allow Javascript to work on the HIT. In this task you will be asked to describe an image among several other images . You may take ONLY 1 HIT for this task.,"image, description, game",$2.00 ,Fri Oct 20 11:43:33 PDT 2017,4,BatchId:2978795;OriginalHitTemplateId:920937340;,3600,3600,Fri Oct 27 11:43:33 PDT 2017,,,36TFCYNS45NKG6JKL8S5CTN17FBXHB,xl5jyw3oqk,Approved,Fri Oct 20 11:43:44 PDT 2017,Fri Oct 20 12:31:42 PDT 2017,Fri Oct 20 13:31:42 PDT 2017,2017-10-20 20:31:57 UTC,,,2878,100% (1/1),100% (1/1),100% (1/1),impreciseAdjPracticeListenerFreeProduction,TlessC1,25,Yes,{},3,1,2,{},circle,square with lines,triangle,circle,slightly curved line,cube,cube,triangle,triangle,arrow,filled up jar,semi circle,cube,larger line,small arrow,larger square,square,thicker oval,large rectangle,cylinder,oval,thicker line,line with an angle,arrow,larger line,arrow,bigger triangle,square,thick square,oval,serpentine confetti,object that look like a drum,arrow,curved line,thiner line,sqaure with dots,triangle with lines,triangle with circles,curved arrow,dotted triangle,surrounded by a dash line,Female,,CADB;ADCB;CABD;CBAD;CDAB;ABCD;BDCA;CADB,8;1;7;4;2;3;6;5,31,1,1,1,1,1,1,1,no,spanish,no,2;1;1;1;2;2;1;2;2;2;2;1;1;1;1;1;2;2;1;2;1;2;1;2;1;1;2;2;1;2;1;2;1;1;1;1;2;1;2;1,ACDB;CADB;CADB;BADC;BACD;ACBD;BDAC;DACB;DBAC;ADBC;BDAC;DCAB;DACB;DCAB;CBDA;BDAC;CDBA;BADC;CADB;CADB;ACDB;BDAC;CBAD;CABD;CDBA;BCAD;ADBC;ABCD;BADC;BACD;BACD;CBDA;ABCD;BCAD;ACDB;DBAC;DCBA;DBAC;DCBA;CDAB,45060;13056;30735;21097;30230;14042;28799;20671;5790;4858;15264;6975;4252;10633;6543;5937;7216;14396;3357;3576;23995;5018;40687;9386;5974;16402;4761;4386;6972;4820;5917;3803;10807;12421;5546;3792;50046;7530;6119;4894,sun,35;18;37;19;38;20;28;13;24;16;5;12;1;31;30;32;4;2;34;15;3;21;10;25;22;26;14;11;33;23;8;36;9;6;29;17;27;7;39;40,1,,
